   6.60  0.15000   0.1500  -2.4525   3.5402   5.1734 10.9010	 15.617   14.057   12.451   11.401   10.278	 16.556   13.410   11.885   10.996   10.484	  9.108    8.554    8.324    8.063    7.997     7.952    7.931
   6.60  0.20000   0.2000  -2.1755   3.5616   5.1069 10.2090	 14.344   12.995   11.507   10.522    9.545	 15.255   12.400   10.956   10.214    9.778	  8.457    7.902    7.694    7.481    7.419     7.389    7.378
   6.60  0.25000   0.2500  -1.9868   3.5732   5.0615  9.7370	 13.537   12.324   10.909    9.955    9.052	 14.427   11.764   10.366    9.696    9.296	  8.002    7.448    7.260    7.075    7.013     7.000    6.997
   6.60  0.30000   0.3000  -1.8367   3.5824   5.0274  9.3620	 12.944   11.807   10.440    9.516    8.669	 13.820   11.265    9.908    9.293    8.926	  7.653    7.086    6.913    6.748    6.697     6.688    6.690
   6.60  0.35000   0.3500  -1.7107   3.5902   4.9996  9.0470	 12.453   11.375   10.046    9.148    8.350	 13.318   10.847    9.526    8.956    8.617	  7.362    6.783    6.622    6.474    6.433     6.426    6.432
   6.60  0.40000   0.4000  -1.5648   3.5972   4.9397  8.6820	 11.941   10.910    9.615    8.742    7.984	 12.795   10.393    9.107    8.576    8.261	  7.018    6.422    6.273    6.144    6.115     6.107    6.117
   6.60  0.45000   0.4500  -1.4449   3.6061   4.9065  8.3820	 11.504   10.505    9.244    8.401    7.688	 12.352    9.996    8.753    8.264    7.976	  6.746    6.133    5.995    5.883    5.870     5.857    5.860
   6.60  0.50000   0.5000  -1.3139   3.6168   4.8641  8.0550	 11.046   10.068    8.844    8.036    7.368	 11.889    9.564    8.374    7.929    7.669	  6.452    5.820    5.692    5.597    5.605     5.581    5.570
   6.60  0.55000   0.5500  -1.1754   3.6291   4.8161  7.7080	 10.534    9.591    8.412    7.647    7.029	 11.369    9.094    7.969    7.572    7.344	  6.142    5.499    5.382    5.306    5.334     5.302    5.276
   6.60  0.60000   0.6000  -1.0436   3.6410   4.7697  7.3790	 10.013    9.124    7.999    7.278    6.700	 10.841    8.637    7.587    7.230    7.028	  5.845    5.209    5.105    5.044    5.083     5.050    5.017
   6.60  0.70000   0.7000  -0.7627   3.6739   4.6874  6.6770	  8.741    8.058    7.072    6.473    5.984	  9.551    7.598    6.752    6.486    6.346	  5.234    4.673    4.592    4.554    4.602     4.575    4.534
   6.60  0.80000   0.8000  -0.4851   3.7179   4.6438  5.9830	  7.325    6.990    6.171    5.700    5.296	  8.117    6.579    5.953    5.771    5.696	  4.693    4.263    4.204    4.178    4.209     4.192    4.162
