 0.1500 0.0000  15.827  14.295  12.700  11.615  10.370  16.764  13.654  12.145  11.133  10.547   9.136   8.592   8.360   8.086   8.017   7.979   7.961
 0.2000 0.0000  14.648  13.250  11.740  10.729   9.640  15.570  12.643  11.200  10.348   9.851   8.499   7.947   7.722   7.491   7.435   7.393   7.379
 0.2500 0.0000  13.867  12.586  11.146  10.166   9.148  14.771  12.013  10.613   9.833   9.372   8.046   7.489   7.286   7.084   7.029   7.002   6.994
 0.3000 0.0000  13.254  12.061  10.674   9.718   8.757  14.144  11.513  10.145   9.423   8.992   7.686   7.126   6.940   6.761   6.706   6.691   6.688
 0.3500 0.0000  12.757  11.621  10.271   9.339   8.431  13.636  11.089   9.748   9.078   8.677   7.389   6.818   6.646   6.486   6.438   6.427   6.426
 0.4000 0.0000  12.262  11.165   9.845   8.935   8.073  13.132  10.643   9.330   8.704   8.329   7.053   6.466   6.306   6.163   6.126   6.115   6.116
 0.4500 0.0000  11.777  10.724   9.438   8.559   7.767  12.636  10.213   8.933   8.374   8.038   6.781   6.169   6.025   5.907   5.885   5.873   5.877
 0.5000 0.0000  11.313  10.284   9.030   8.187   7.458  12.164   9.779   8.542   8.042   7.744   6.504   5.870   5.738   5.641   5.640   5.621   5.617
 0.5500 0.0000  10.840   9.826   8.606   7.801   7.130  11.684   9.324   8.138   7.692   7.431   6.206   5.554   5.433   5.353   5.375   5.346   5.329
 0.6000 0.0000  10.348   9.369   8.192   7.429   6.812  11.186   8.874   7.750   7.356   7.128   5.922   5.268   5.158   5.093   5.133   5.099   5.070
 0.7000 0.0000   9.156   8.341   7.291   6.640   6.122   9.975   7.867   6.929   6.633   6.473   5.330   4.734   4.647   4.607   4.661   4.629   4.587
 0.8469 0.0000   7.256   6.868   6.033   5.556   5.155   8.050   6.450   5.809   5.630   5.557   4.553   4.126   4.068   4.043   4.080   4.062   4.029
 1.0406 0.0000   5.468   5.441   4.840   4.484   4.171   6.263   5.119   4.709   4.618   4.612   3.729   3.437   3.402   3.390   3.401   3.393   3.381
 1.3144 0.0000   3.789   3.864   3.504   3.275   3.070   4.628   3.638   3.471   3.483   3.552   2.787   2.634   2.614   2.612   2.610   2.609   2.607
 1.3531 0.0000   3.608   3.678   3.343   3.129   2.938   4.454   3.461   3.322   3.347   3.425   2.674   2.537   2.518   2.517   2.514   2.514   2.513
 1.4531 0.0000   3.207   3.245   2.976   2.810   2.663   4.071   3.050   2.991   3.058   3.163   2.452   2.362   2.345   2.345   2.343   2.343   2.343
 1.5999 0.0000   2.708   2.697   2.518   2.421   2.338   3.597   2.530   2.586   2.715   2.852   2.195   2.165   2.149   2.151   2.150   2.150   2.151
 1.7467 0.0000   2.279   2.256   2.161   2.120   2.085   3.181   2.116   2.272   2.449   2.608   1.997   2.005   1.991   1.994   1.993   1.994   1.994
 1.8467 0.0000   2.026   2.025   1.970   1.952   1.939   2.931   1.899   2.098   2.297   2.466   1.877   1.900   1.889   1.894   1.893   1.894   1.895
 1.8969 0.0000   1.904   1.920   1.882   1.872   1.868   2.809   1.800   2.017   2.224   2.397   1.819   1.848   1.839   1.844   1.844   1.845   1.846
 1.9469 0.0000   1.793   1.825   1.801   1.799   1.802   2.697   1.710   1.941   2.156   2.332   1.762   1.796   1.789   1.796   1.796   1.797   1.799
 1.9940 0.0000   1.694   1.743   1.731   1.733   1.741   2.597   1.633   1.874   2.094   2.273   1.710   1.748   1.742   1.750   1.751   1.752   1.754
 2.2000 0.0000   1.279   1.407   1.434   1.453   1.479   2.174   1.312   1.589   1.827   2.017   1.481   1.530   1.532   1.545   1.547   1.550   1.554
 2.5000 0.0000   0.756   0.992   1.056   1.088   1.130   1.635   0.913   1.220   1.474   1.677   1.170   1.229   1.241   1.262   1.267   1.271   1.277
 2.6931 0.0000   0.461   0.758   0.836   0.872   0.922   1.330   0.684   1.003   1.264   1.474   0.980   1.044   1.060   1.085   1.091   1.097   1.103
 3.0000 0.0000   0.029   0.407   0.503   0.545   0.604   0.883   0.340   0.673   0.943   1.164   0.688   0.758   0.779   0.809   0.817   0.824   0.832
 3.1798 0.0000  -0.199   0.218   0.322   0.367   0.431   0.647   0.155   0.495   0.768   0.995   0.526   0.600   0.624   0.656   0.664   0.672   0.681
 3.5000 0.0000  -0.587  -0.111   0.005   0.054   0.125   0.249  -0.170   0.180   0.459   0.696   0.238   0.315   0.344   0.380   0.389   0.398   0.408
 3.5521 0.0000  -0.646  -0.162  -0.043   0.007   0.078   0.189  -0.220   0.132   0.412   0.650   0.194   0.272   0.301   0.338   0.347   0.356   0.366
 3.8402 0.0000  -0.971  -0.446  -0.319  -0.265  -0.189  -0.144  -0.500  -0.141   0.143   0.387  -0.061   0.021   0.053   0.092   0.102   0.112   0.123
 4.0000 0.0000  -1.156  -0.613  -0.480  -0.426  -0.347  -0.330  -0.665  -0.302  -0.016   0.231  -0.214  -0.130  -0.097  -0.056  -0.046  -0.036  -0.024
 4.0939 0.0000  -1.264  -0.711  -0.577  -0.521  -0.442  -0.439  -0.762  -0.397  -0.110   0.137  -0.305  -0.221  -0.187  -0.146  -0.135  -0.125  -0.113
